Vdm, V
0.0748748748749,3.282
0.0756756756757,3.284
0.0764764764765,3.284
0.0772772772773,3.284
0.0780780780781,3.286
0.0788788788789,3.286
0.0796796796797,3.286
0.0804804804805,3.288
0.0812812812813,3.288
0.0820820820821,3.288
0.0828828828829,3.29
0.0836836836837,3.29
0.0844844844845,3.292
0.0852852852853,3.292
0.0860860860861,3.292
0.0868868868869,3.292
0.0876876876877,3.294
0.0884884884885,3.294
0.0892892892893,3.296
0.0900900900901,3.296
0.0908908908909,3.296
0.0916916916917,3.296
0.0924924924925,3.298
0.0932932932933,3.298
0.0940940940941,3.298
0.0948948948949,3.3
0.0956956956957,3.3
0.0964964964965,3.302
0.0972972972973,3.302
0.0980980980981,3.302
0.0988988988989,3.304
0.0996996996997,3.304
0.100500500501,3.304
0.101301301301,3.306
0.102102102102,3.306
0.102902902903,3.306
0.103703703704,3.308
0.104504504505,3.308
0.105305305305,3.308
0.106106106106,3.31
0.106906906907,3.31
0.107707707708,3.31
0.108508508509,3.312
0.109309309309,3.312
0.11011011011,3.312
0.110910910911,3.314
0.111711711712,3.314
0.112512512513,3.316
0.113313313313,3.316
0.114114114114,3.316
0.114914914915,3.316
0.115715715716,3.318
0.116516516517,3.318
0.117317317317,3.32
0.118118118118,3.32
0.118918918919,3.32
0.11971971972,3.32
0.120520520521,3.322
0.121321321321,3.322
0.122122122122,3.324
0.122922922923,3.324
0.123723723724,3.324
0.124524524525,3.326
0.125325325325,3.326
0.126126126126,3.326
0.126926926927,3.328
0.127727727728,3.328
0.128528528529,3.328
0.129329329329,3.33
0.13013013013,3.33
0.130930930931,3.33
0.131731731732,3.332
0.132532532533,3.332
0.133333333333,3.334
0.134134134134,3.334
0.134934934935,3.334
0.135735735736,3.334
0.136536536537,3.336
0.137337337337,3.336
0.138138138138,3.336
0.138938938939,3.338
0.13973973974,3.338
0.140540540541,3.338
0.141341341341,3.34
0.142142142142,3.34
0.142942942943,3.34
0.143743743744,3.342
0.144544544545,3.342
0.145345345345,3.342
0.146146146146,3.344
0.146946946947,3.344
0.147747747748,3.344
0.148548548549,3.346
0.149349349349,3.346
0.15015015015,3.346
0.150950950951,3.348
0.151751751752,3.348
0.152552552553,3.348
0.153353353353,3.35
0.154154154154,3.35
0.154954954955,3.35
0.155755755756,3.352
0.156556556557,3.352
0.157357357357,3.354
0.158158158158,3.354
0.158958958959,3.354
0.15975975976,3.356
0.160560560561,3.356
0.161361361361,3.356
0.162162162162,3.356
0.162962962963,3.358
0.163763763764,3.358
0.164564564565,3.358
0.165365365365,3.36
0.166166166166,3.36
0.166966966967,3.362
0.167767767768,3.362
0.168568568569,3.362
0.169369369369,3.364
0.17017017017,3.364
0.170970970971,3.364
0.171771771772,3.366
0.172572572573,3.366
0.173373373373,3.366
0.174174174174,3.368
0.174974974975,3.368
0.175775775776,3.368
0.176576576577,3.37
0.177377377377,3.37
0.178178178178,3.37
0.178978978979,3.372
0.17977977978,3.372
0.180580580581,3.372
0.181381381381,3.374
0.182182182182,3.374
0.182982982983,3.374
0.183783783784,3.376
